Master_Species Organics H[Acetate].tot H2CO3.tot NH3.tot CH4_(cum) H2O.tot H+.tot SO4-2.tot H2S.tot Cx(ace) Cx(meth) Cx(sulf)
IC_(C-mol/L) 6.45 0.2 - 0.065 0 55.6 -2.2 0 0 0 0.005 0.001
Output_(ORCHESTRA) Organics H[Acetate].con H2CO3.con NH4+.con CH4_(cum) H2O.logact pH SO4-2.con HS-.con Cx(ace) Cx(meth) Cx(sulf)
Initial_(C-mol/L) 6.45 7.62E-007 2.41E-004 6.50E-002 0 0 6.2 0 0 0 0 0
Reactions Organics H[Acetate].con H2CO3.con NH4+.con CH4[g].con H2O.con pH_(mol_H+) SO4-2.con H2S Cx(ace) Cx(meth) Cx(sulf)
hydrolysis -1 0.2997877525 0.010438429 0.0243818685 0 -0.0777071765 0 0 0 0.1780906575 0 0
Methanogenesis 0 -1 1.1034041537 -0.0250383385 1.4234041537 -0.5368849845 0 0 0 0 0.1251916925 0
Desulfurication -1 0 0.7599618258 0.0119923652 0 0.7089847303 -0.8476618258 -0.4238309129 0.4238309129 0 0 0.2400381742
Ks Organics H[Acetate].con H2CO3.con NH4+.con CH4[g].con H2O.con pH SO4-2.tot H2S_(cum) Cx(ace) Cx(meth) Cx(sulf)
hydrolysis 0 0 0 0 0 0 0 0 0 0 0 0
Methanogenesis 0 0.002 0 0 0 0 0 0 0 0 0 0
Desulfurication 0 0 0 0 0 0 0 0 0 0 0 0
- Rmax pH1 pH2 NH3i per_rate - - - - - - -
hydrolysis 0.0314 7 5.5 0 2 - - - - - - -
Methanogenesis 0.207 7 5 0.0018 0.045 - - - - - - -
Desulfurication 0 0 0 0 0 - - - - - - -
Constants H2CO3.logact Ca+2.tot Na+.tot Cl-.tot - - - - - - - -
- -1.6 1 0.25 0.05 - - - - - - - -
Extra_Out Ca+2.con HCO3-.con Acetate-.con Ca[Acetate]+.con Cl-.con CO3-2.con NH3.con - - - - -
- 0.01 0.01 0.01 0.01 0.01 0.01 0.01 - - - - -
Extra_Out NaCO3-.con OH-.con NaSO4-.con HSO4-.con Na+.con H2S.con Calcite.min - - - - -
- 0.01 0.01 0.01 0.01 0.01 0.01 0.01 - - - - -
Parameters rN2in Vlini rVl Vg Yxs(ace) F - - - - - -
- 0 325 0 80 1 -0.0001 - - - - - -
