# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# 
# 
# STN             LON           LAT         ALT  NAME
# 269: 
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# DR       = Duur van de neerslag (in 0.1 uur); 
# RH       = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# EV24     = Referentiegewasverdamping (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH, EV24
# 
  269,20100907,   43,   91,    6
  269,20100908,   47,   35,    9
  269,20100909,    5,    3,   19
  269,20100910,   58,   51,   11
  269,20100911,    0,    0,   26
  269,20100912,   10,    5,   12
  269,20100913,   12,    7,   19
  269,20100914,  181,  231,    4
  269,20100915,   64,  158,   20
  269,20100916,   34,   35,   15
  269,20100917,   37,   25,   18
  269,20100918,    0,   -1,   13
  269,20100919,    0,   -1,    6
  269,20100920,   29,   19,    8
  269,20100921,    0,    0,   17
  269,20100922,    0,    0,   22
  269,20100923,   31,   90,   15
  269,20100924,    8,   10,   16
  269,20100925,   28,   24,   18
  269,20100926,    0,    0,   10
  269,20100927,  154,   79,    2
  269,20100928,    0,    0,    4
  269,20100929,    0,    0,   18
  269,20100930,   59,   41,    4
  269,20101001,   29,   15,   17
  269,20101002,   80,   68,   11
  269,20101003,    0,    0,   20
  269,20101004,    0,    0,   12
  269,20101005,    0,   -1,    8
  269,20101006,   21,    8,    7
  269,20101007,    0,    0,    8
  269,20101008,    0,    0,    5
  269,20101009,    0,    0,   17
  269,20101010,    0,    0,   17
  269,20101011,    0,    0,   17
  269,20101012,    0,    0,   12
  269,20101013,    0,    0,    9
  269,20101014,    0,   -1,    4
  269,20101015,   96,  121,    5
  269,20101016,    8,    2,    8
  269,20101017,    0,    0,   11
  269,20101018,   16,   11,    9
  269,20101019,  120,  186,    9
  269,20101020,   53,   77,    9
  269,20101021,   14,   22,   10
  269,20101022,    0,    0,    8
  269,20101023,   77,   90,    3
  269,20101024,   23,   18,   10
  269,20101025,    0,   -1,   11
  269,20101026,   20,    7,    4
  269,20101027,   85,   56,    2
  269,20101028,    8,    5,    3
  269,20101029,    0,    0,    6
  269,20101030,   11,    2,    4
  269,20101031,   31,   13,    4
  269,20101101,    0,    0,    2
  269,20101102,   11,    3,    2
  269,20101103,   63,   19,    5
  269,20101104,   29,   20,    2
  269,20101105,   63,   88,    2
  269,20101106,   72,   56,    4
  269,20101107,    0,    0,    7
  269,20101108,    0,   -1,    3
  269,20101109,   64,   20,    2
  269,20101110,   47,   27,    3
  269,20101111,   65,  107,    1
  269,20101112,   45,   33,    4
  269,20101113,    0,   -1,    2
  269,20101114,  108,   95,    2
  269,20101115,    3,    1,    4
  269,20101116,    0,    0,    6
  269,20101117,    0,   -1,    2
  269,20101118,   13,    2,    2
  269,20101119,    0,    0,    4
  269,20101120,    0,    0,    3
  269,20101121,    0,    0,    5
  269,20101122,    0,   -1,    4
  269,20101123,    2,    1,    3
  269,20101124,    0,   -1,    3
  269,20101125,    0,    0,    2
  269,20101126,    0,    0,    3
  269,20101127,    6,    1,    1
  269,20101128,    0,    0,    4
  269,20101129,   29,    6,    0
  269,20101130,    0,   -1,    3
  269,20101201,    0,   -1,    2
  269,20101202,   86,   20,    1
  269,20101203,    0,   -1,    2
  269,20101204,   74,   35,    1
  269,20101205,   47,   24,    3
  269,20101206,    0,    0,    3
  269,20101207,    0,    0,    1
  269,20101208,    0,   -1,    1
  269,20101209,   27,   24,    4
  269,20101210,   17,    6,    1
  269,20101211,   16,    5,    1
  269,20101212,    0,   -1,    2
  269,20101213,    7,    7,    1
  269,20101214,    0,   -1,    1
  269,20101215,    5,    1,    3
  269,20101216,   83,  111,    0
  269,20101217,   39,   32,    1
  269,20101218,    0,   -1,    1
  269,20101219,   39,   46,    1
  269,20101220,    0,   -1,    2
  269,20101221,    0,   -1,    1
  269,20101222,    0,   -1,    1
  269,20101223,   18,   12,    1
  269,20101224,    0,   -1,    2
  269,20101225,    7,    2,    3
  269,20101226,    9,    7,    3
  269,20101227,    0,    0,    2
  269,20101228,    0,   -1,    1
  269,20101229,    0,    0,    2
  269,20101230,    0,   -1,    2
  269,20101231,   36,   16,    2
  269,20110101,   13,    5,    2
  269,20110102,    4,   11,    3
  269,20110103,    0,   -1,    3
  269,20110104,    0,   -1,    2
  269,20110105,   19,    7,    3
  269,20110106,  132,  135,    1
  269,20110107,   23,    9,    1
  269,20110108,   33,   35,    2
  269,20110109,    0,    0,    4
  269,20110110,    0,    0,    4
  269,20110111,   28,   16,    1
  269,20110112,  109,  102,    1
  269,20110113,  114,  107,    1
  269,20110114,  130,  148,    1
  269,20110115,    0,   -1,    1
  269,20110116,    0,    0,    4
  269,20110117,   21,   11,    1
  269,20110118,   47,   25,    1
  269,20110119,    3,    5,    4
  269,20110120,    0,    0,    5
  269,20110121,    0,   -1,    2
  269,20110122,   20,    7,    2
  269,20110123,    6,    2,    1
  269,20110124,   22,    9,    3
  269,20110125,   38,   27,    5
  269,20110126,    0,   -1,    3
  269,20110127,    0,    0,    5
  269,20110128,    0,    0,    6
  269,20110129,    0,    0,    6
  269,20110130,    0,    0,    2
  269,20110131,    0,    0,    2
  269,20110201,    9,    6,    1
  269,20110202,   10,   11,    1
  269,20110203,   17,   12,    7
  269,20110204,   37,   12,    1
  269,20110205,    0,    0,    3
  269,20110206,    0,    0,    4
  269,20110207,    0,    0,    6
  269,20110208,    0,    0,    9
  269,20110209,    0,    0,    8
  269,20110210,   77,   91,    3
  269,20110211,   50,   22,    1
  269,20110212,  105,  147,    1
  269,20110213,    0,    0,    7
  269,20110214,   18,    2,    2
  269,20110215,    5,    1,    7
  269,20110216,   11,    4,   11
  269,20110217,    0,    0,   10
  269,20110218,    0,    0,    1
  269,20110219,    0,    0,    4
  269,20110220,    0,    0,    6
  269,20110221,    0,    0,    9
  269,20110222,    0,    0,    9
  269,20110223,   47,   31,    4
  269,20110224,   28,   14,    3
  269,20110225,    0,   -1,    2
  269,20110226,   77,   48,    3
  269,20110227,  216,  200,    1
  269,20110228,   37,    9,    2
  269,20110301,    0,    0,    4
  269,20110302,    0,    0,   12
  269,20110303,    0,    0,   10
  269,20110304,    0,    0,    5
  269,20110305,    0,    0,    4
  269,20110306,    0,    0,   14
  269,20110307,    0,    0,   15
  269,20110308,    0,    0,   15
  269,20110309,    8,    6,    8
  269,20110310,    0,   -1,    5
  269,20110311,    0,    0,   14
  269,20110312,    0,   -1,   13
  269,20110313,    0,   -1,    7
  269,20110314,   40,   10,    6
  269,20110315,    0,    0,   14
  269,20110316,    0,    0,   12
